sr no ,rank,cutoff,intitute name,branch,Exam
1,56584,95.5178877,"5418 - Guru Gobind Singh College of Engineering & Research Centre, Nashik.",Mechanical Engineering,MHT-CET
2,57702,91.4432402,"3218 - Aldel Education Trust's St. John College of Engineering & Management, Vevoor,
Palghar","Electronics and Telecommunication
Engg",MHT-CET
3,58005,90.5079656,"6179 - Indira College of Engineering & Management, Pune",Mechanical Engineering,MHT-CET
4,58022,90.4789478,"3222 - Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege
Betegaon, Boisar",Automobile Engineering,MHT-CET
5,59371,87.0496161,"5181 - Gokhale Education Society's, R.H. Sapat College of Engineering, Management
Studies and Research, Nashik","Electronics and Telecommunication
Engg",MHT-CET
6,59706,86.2580042,"3222 - Haji Jamaluddin Thim Trust's Theem College of Engineering, At. Villege
Betegaon, Boisar","Computer Science and
Engineering(Artificial Intelligence and
Machine Learning)",MHT-CET
7,60800,83.9184061,2516 - International Centre Of Excellence In Engineering and Management (ICEEM),Computer Science and Engineering,MHT-CET
8,60808,83.9184061,"3200 - Hope Foundation and research center's Finolex Academy of Management and
Technology, Ratnagiri",Chemical Engineering,MHT-CET
9,60898,83.7542269,"3460 - Universal College of Engineering,Kaman Dist. Palghar","Artificial Intelligence and Machine
Learning",MHT-CET
10,62051,81.3053751,"5152 - G. H. Raisoni Institute of Business Management,Jalgaon",Electrical Engineering,MHT-CET
11,62184,81.016291,"5108 - Maratha Vidya Prasarak Samaj's Karmaveer Adv. Baburao Ganpatrao Thakare
College Of Engineering, Nashik",Mechanical Engineering,MHT-CET
12,62291,80.818283,"3467 - Vishwaniketan's Institute of Management Entrepreneurship and Engineering
Technology(i MEET), Khalapur Dist Raigad","Computer Science and
Engineering(Artificial Intelligence and
Machine Learning)",MHT-CET
13,63196,78.9697101,"6206 - Pune District Education Association's College of Engineering, Pune",Instrumentation Engineering,MHT-CET
14,63431,78.4854138,"3477 - Chhartrapati Shivaji Maharaj Institute of Technology, Shedung, Panvel",Mechanical Engineering,MHT-CET
15,63483,78.3911539,"6324 - Rajgad Dnyanpeeth's Technical Campus,Dhangwadi, Bhor",Computer Engineering,MHT-CET
16,63497,78.3206831,"6311 - Jayawant Shikshan Prasarak Mandal, Bhivarabai Sawant Institute of Technology
& Research, Wagholi",Electrical Engineering,MHT-CET
17,65589,74.3378698,"3175 - M.G.M.'s College of Engineering and Technology, Kamothe, Navi Mumbai",Electrical Engineering,MHT-CET
18,65969,73.5329037,"4147 - K.D.K. College of Engineering, Nagpur",Mechanical Engineering,MHT-CET
19,66445,72.577622,"3154 - Saraswati Education Society's Saraswati College of Engineering,Kharghar Navi
Mumbai",Civil Engineering,MHT-CET
20,66726,71.9509242,"2522 - STMEI's Sandipani Technical Campus-Faculty of Engineering, Latur.",Computer Engineering,MHT-CET
21,66898,71.6974982,"6183 - Al-Ameen Educational and Medical Foundation, College of Engineering,
Koregaon, Bhima","Electronics and Telecommunication
Engg",MHT-CET
22,66912,71.6974982,"4172 - Anjuman College of Engineering & Technology, Nagpur",Civil Engineering,MHT-CET
23,67275,71.0406477,"3206 - S.S.P.M.'s College of Engineering, Kankavli",Electrical Engineering,MHT-CET
24,67508,70.5748291,"6419 - Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune","Electronics and Communication
Engineering",MHT-CET
25,69286,66.9447726,"6419 - Nutan College of Engineering and Research, Talegaon Dabhade Tal. Maval, Pune",Mechanical Engineering,MHT-CET
26,69458,66.7530038,"3196 - Lokmanya Tilak College of Engineering, Kopar Khairane, Navi Mumbai",Mechanical Engineering,MHT-CET
27,69625,66.5276503,"3439 - Anjuman-I-Islam's Kalsekar Technical Campus, Panvel",Electrical Engineering,MHT-CET
28,69641,66.5204925,"6796 - Bharati Vidyapeeth's College of Engineering,Lavale, Pune",Mechanical Engineering,MHT-CET
29,69960,66.0447761,"6878 - Dr. A. D. Shinde College Of Engineering, Tal.Gadhinglaj, Kolhapur",Civil Engineering,MHT-CET
30,70141,65.276137,"1105 - Prof. Ram Meghe Institute of Technology & Research, Amravati","Electronics and Telecommunication
Engg",MHT-CET
31,70260,65.0496408,"6635 - Samarth Group of Institutions, Bangarwadi, Post Belhe Tal. Junnar Dist. Pune",Computer Engineering,MHT-CET
32,70452,64.9940968,"3423 - Shree L.R. Tiwari College of Engineering, Mira Road, Mumbai",Mechanical Engineering,MHT-CET
33,70794,64.0086029,"3467 - Vishwaniketan's Institute of Management Entrepreneurship and Engineering
Technology(i MEET), Khalapur Dist Raigad",Mechanical Engineering,MHT-CET
